Employee_ID,Name,Gender,Age,Location,Education,Total_Experience,Department,Designation,Manager_ID,Joining_Date,Performance_Rating,Avg_Work_Hours,Project_Workload,Remote_Work_Days_Monthly,Monthly_Salary,Market_Salary_Ratio,Salary_Change_%,Bonus_Last_Year,Job_Satisfaction_Score,Manager_Rating,Internal_Job_Applications,Days_Since_Last_Promotion,Leaves_Taken_Last_Year,Commute_Distance_KM,Team_Size,Intent_To_Stay_12Months,Engagement_Survey_Score,Meeting_Participation_Score,Time_Since_Last_Promotion_Months,Training_Completion_Rate,Status,Resignation_Date,Last_Working_Day,Lead_Time,Notice_Period_Type,Tenure_Years,Experience_Tenure_Ratio,Salary_Satisfaction,Work_Life_Balance
EMP_0001,Vicki Salas,Male,50,Mumbai,Master,27,Finance,Finance Manager,None,2019-06-01,3.7,51.1,Medium,4,120769,1.01,4.3,0,6.7,9.2,0,946,8,18.2,19,5.5,9.4,7.1,56,0.79,Active,,,0.0,Unknown,6.2,4.29,6.77,Poor
EMP_0002,Lisa Powell,Male,58,Bangalore,Bachelor,34,Sales,Regional Manager,None,2022-02-05,3.5,41.4,Medium,3,198822,0.94,3.2,1,8.5,7.6,0,1144,11,10.0,10,7.4,8.4,5.7,23,0.35,Active,,,0.0,Unknown,3.5,9.44,7.99,Good
EMP_0003,Kimberly Turner,Male,45,Delhi,Bachelor,21,HR,HR Executive,None,2019-11-22,2.9,41.9,Low,0,61847,0.79,5.3,0,4.078894576530368,8.4,1,320,17,10.8,11,4.675819753785572,4.726097385546707,5.5,42,0.4776375017307842,Resigned,2025-01-15,2025-01-29,14.0,Standard,5.7,3.62,3.22,Good
EMP_0004,Keith Schmitt,Female,22,Delhi,PhD,2,Marketing,Marketing Executive,None,2024-10-18,4.4,54.0,Medium,0,45206,1.02,1.9,0,5.8,6.9,0,953,14,19.2,9,10.0,5.9,6.0,7,0.62,Active,,,0.0,Unknown,0.8,2.22,5.92,Poor
EMP_0005,James Hoover,Female,27,Bangalore,Bachelor,5,HR,HR Manager,None,2019-11-05,3.0,42.8,Medium,0,41306,1.13,7.2,1,6.0,3.0,0,773,15,8.6,10,4.1,6.8,7.5,17,0.75,Active,,,0.0,Unknown,5.7,0.86,6.78,Good
EMP_0006,Nicholas Diaz,Male,38,Delhi,PhD,18,HR,HR Manager,None,2019-11-01,2.3,52.4,Medium,4,58091,0.81,2.4,1,9.397672726494044,3.853045817862557,0,292,15,11.6,8,7.925847606029364,6.1,6.7,11,0.7082672328792197,Resigned,2024-11-01,2025-02-08,99.0,Executive,5.7,3.1,7.61,Poor
EMP_0007,Hunter Henry,Female,24,Bangalore,Master,2,Marketing,Marketing Manager,None,2025-03-26,3.1,51.6,Low,0,64360,1.03,10.2,1,2.1,6.63762183901468,0,240,21,12.7,11,7.093289458852094,3.415287517225082,6.830575034450164,53,0.77,Resigned,2025-02-19,2025-05-16,86.0,Executive,0.3,5.0,2.16,Poor
EMP_0008,Danielle Adams,Female,30,Delhi,Master,6,Marketing,Brand Manager,None,2020-11-07,3.9,40.9,Low,3,138354,1.01,3.0,1,7.5,6.8,1,967,9,3.3,8,4.7,8.5,8.2,22,0.85,Active,,,0.0,Unknown,4.7,1.25,7.58,Good
EMP_0009,Katie Oneal,Male,43,Delhi,Bachelor,23,Operations,Operations Manager,None,2024-05-11,2.2,50.5,Medium,4,66277,0.98,7.6,1,9.0,8.8,1,905,10,17.6,16,6.8,8.1,6.7,26,0.94,Active,,,0.0,Unknown,1.2,17.69,8.82,Poor
EMP_0010,Donald Hess,Male,54,Delhi,Bachelor,31,Engineering,Senior Engineer,None,2024-09-20,3.9,38.5,Medium,2,90729,1.02,3.1,0,7.5,7.348722697876925,0,848,17,13.7,13,7.4,4.7,8.4,13,0.99,Resigned,2025-01-21,2025-03-10,48.0,Senior,0.8,34.44,7.65,Good
EMP_0011,Michael Clarke,Female,44,Mumbai,Bachelor,20,Operations,Process Manager,EMP_0002,2024-03-23,4.0,45.9,Medium,1,109749,1.0,13.4,0,2.544508752176928,7.6,1,147,14,19.2,8,2.679119819389637,6.559224385402216,6.3,33,0.886881043660018,Resigned,2025-05-10,2025-08-24,106.0,Executive,1.3,14.29,2.54,Average
EMP_0012,Henry Combs,Female,47,Mumbai,PhD,27,Engineering,Engineering Manager,EMP_0005,2017-12-27,2.4,42.9,Low,0,195543,1.0,11.1,0,7.5,10.0,0,950,14,7.9,14,5.6,6.3,6.4,57,0.92,Active,,,0.0,Unknown,7.6,3.51,7.5,Good
EMP_0013,Maria Wolfe,Male,51,Bangalore,Bachelor,30,Operations,Operations Executive,EMP_0001,2024-11-21,3.9,44.2,Medium,1,54823,0.92,8.1,1,7.2,8.4,0,881,14,14.7,7,8.0,7.6,9.5,45,0.86,Active,,,0.0,Unknown,0.7,37.5,6.62,Good
EMP_0014,Diana Miller,Female,50,Mumbai,Bachelor,28,Sales,Sales Executive,EMP_0009,2023-10-28,2.4,51.7,Medium,4,56281,0.85,3.5,0,8.8,7.0,0,1144,20,1.4,13,8.8,10.0,10.0,40,0.3,Active,,,0.0,Unknown,1.7,15.56,7.48,Poor
EMP_0015,Kimberly Smith,Female,45,Hyderabad,Bachelor,25,HR,HR Executive,EMP_0003,2019-07-06,2.6,39.8,Medium,0,54397,1.07,9.9,1,1.5424960131359795,5.068201186018218,0,1132,8,4.8,19,3.500733399377727,4.491507002975197,7.9,57,0.3632836546524057,Resigned,2025-05-27,2025-06-19,23.0,Standard,6.1,4.03,1.65,Good
EMP_0016,Ashley Novak,Female,57,Pune,Master,34,Finance,Financial Analyst,EMP_0001,2023-10-25,4.8,47.4,High,0,73625,0.99,-0.3,1,6.6,6.6,0,1035,18,14.8,9,7.2,6.2,8.3,12,0.57,Active,,,0.0,Unknown,1.8,17.89,6.53,Average
EMP_0017,Katie Johnson,Female,48,Mumbai,Bachelor,28,Operations,Process Manager,EMP_0006,2024-08-17,3.4,44.9,Low,3,93116,0.95,-3.8,0,7.5,8.1,0,437,21,4.2,5,3.2,7.9,7.2,24,0.82,Active,,,0.0,Unknown,0.9,28.0,7.12,Good
EMP_0018,Andrew Weber,Female,39,Mumbai,Bachelor,17,Engineering,Software Engineer,EMP_0003,2024-05-17,3.4,50.9,Medium,1,63659,0.83,3.4,1,8.22327786226735,5.9,0,829,18,3.1,5,2.782162246395508,5.930398472579899,7.321479595777653,7,0.44,Resigned,2024-05-12,2024-06-16,35.0,Professional,1.2,13.08,6.83,Poor
EMP_0019,Andrew Romero,Male,22,Bangalore,PhD,0,Marketing,Marketing Executive,EMP_0005,2019-08-14,3.6,47.0,High,4,65384,0.97,13.6,1,2.1,4.324818962471683,0,912,13,8.6,7,5.962804171759332,8.3,3.4557160540877945,14,0.399778916061137,Resigned,2024-11-17,2024-12-01,14.0,Standard,6.0,0.0,2.04,Average
EMP_0020,Amy Huffman,Male,34,Mumbai,Master,11,Sales,Regional Manager,EMP_0003,2023-09-21,1.1,43.4,High,1,177131,0.91,6.2,1,10.0,9.1,0,164,10,4.8,16,7.5,6.3,8.8,43,0.97,Active,,,0.0,Unknown,1.8,5.79,9.1,Good
EMP_0021,Erik Sutton,Male,38,Pune,Bachelor,14,Engineering,Senior Engineer,EMP_0004,2017-09-23,3.4,43.3,High,4,85569,0.78,1.6,0,7.338042300972445,4.8,0,200,16,19.2,12,7.88437945508421,5.843716537297709,10.0,55,0.6214746158713437,Resigned,2025-07-14,2025-09-22,70.0,Senior,7.8,1.77,5.72,Good
EMP_0022,Nicholas Rangel,Female,40,Hyderabad,Bachelor,20,Sales,Sales Executive,EMP_0008,2020-04-18,4.7,55.004999999999974,Medium,1,50160,1.22,6.7,1,5.1511818576295525,4.682892597845048,3,1139,11,7.8,5,3.7784766218224255,5.321798058904826,3.6720406606443294,28,0.5321798058904826,Resigned,2025-02-14,2025-03-09,23.0,Standard,5.3,3.7,6.28,Poor
EMP_0023,Joshua Cannon,Male,28,Chennai,Master,7,Marketing,Content Manager,EMP_0003,2023-12-04,3.7,44.2,Medium,0,65750,0.87,6.8,1,6.2,6.9,0,175,17,1.4,13,6.4,10.0,10.0,52,0.89,Active,,,0.0,Unknown,1.6,4.12,5.39,Good
EMP_0024,Tiffany Garza,Female,40,Delhi,Bachelor,17,HR,HR Manager,EMP_0006,2018-04-02,3.5,35.2,Medium,0,57844,0.9,9.2,0,5.0585199715544125,5.510173540443199,0,912,16,3.1,7,6.370052282155309,4.79935445915811,5.671964360823221,56,0.89,Resigned,2024-11-25,2025-02-18,85.0,Executive,7.3,2.3,4.55,Good
EMP_0025,Jackie Stevens,Male,47,Delhi,Master,26,Operations,Operations Manager,EMP_0002,2018-03-06,4.1,46.7,Medium,0,51233,0.75,11.0,0,6.1,7.2,0,934,18,1.4,9,9.0,5.8,9.0,22,0.47,Active,,,0.0,Unknown,7.4,3.47,4.57,Average
EMP_0026,Cameron Dickson,Male,36,Bangalore,Bachelor,12,Operations,Process Manager,EMP_0010,2021-11-22,3.8,48.9,Medium,4,88567,1.06,9.0,0,6.2,7.9,1,814,12,9.6,15,7.5,9.0,6.8,44,0.89,Active,,,0.0,Unknown,3.7,3.16,6.57,Average
